"Gene","Weighted_AI_Score","AI_Target_Score","avg_log2FC","Spatial_FC","Spearman_rho","Mouse_Validated","Communication_Count","Pathway_Count"
"C5AR1",18.1705022378272,10.1960929374633,4.63655551847111,2.63618390339937,0.545926693952884,1,0,0
"LILRB2",5.3916959478156,2.68462176177308,5.01729583835629,1.9232215297114,0.405283551784752,0,0,0
"PILRA",5.07106869735292,3.54333743761909,4.49462560568758,1.27371788632308,0.354480364970525,1,2,1
"CSF1R",3.99314698003554,4.62675536002663,3.79364976703217,1.27683236900186,0.436659461351706,1,0,0
"SIGLEC1",-0.641605045019257,1.20789266236412,4.67015866592551,1.25952763820531,0.21036877706287,0,10,1
"CLEC7A",-2.12414626817467,-1.83694337675954,3.63044830178698,1.03404493489566,0.24488358489301,1,0,0
"TLR4",-5.86681878884307,-4.21664244687076,4.58989009017234,0.995729834158291,-0.022187129068009,1,0,0
"C3AR1",-6.8647216744978,-4.7887736520436,3.07670270194696,0.924976813484036,0.00465880997985959,1,0,0
"CD300E",-6.92664007587822,-4.38831174727419,5.33206264050104,0.900239856764271,0.197609496987925,0,0,0
"P2RX7",-10.2024820106182,-7.0280289362981,2.6021234890875,0.832121812690566,-0.0674211577219593,1,0,0
